x0,l0,E0,,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277,P278,P279,P280,P281,P282,P283,P284,P285,P286,P287,P288,P289,P290,P291,P292,P293,P294,P295,P296,P297,P298,P299,P300,
3,0.2,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0,-0.00000002,0,0.00000004,0,-0.00000008,0.00000001,0.00000017,-0.00000005,-0.00000036,0.00000014,0.00000074,-0.00000035,-0.00000149,0.00000082,0.00000294,-0.0000018,-0.00000573,0.0000037,0.00001097,-0.00000724,-0.0000207,0.00001349,0.00003842,-0.00002389,-0.00007007,0.00004003,0.00012534,-0.00006287,-0.00021929,0.00009102,0.00037399,-0.00011741,-0.00061922,0.00012394,0.00099057,-0.00007421,-0.00152236,-0.00009366,0.00223257,0.0004699,-0.00309813,-0.00116315,0.0040243,0.00226827,-0.00482014,-0.00380512,0.00520399,0.00563685,-0.00486802,-0.00740208,0.00361901,0.00852616,-0.00156457,-0.00837704,-0.00074818,0.00659102,0.00241951,-0.00340424,-0.00253914,-0.00014095,0.00092442,0.00281714,0.00190983,-0.00330474,-0.00379679,0.00300867,0.00548418,0.00001883,-0.00197156,0.00319125,0.0069028,0.00756225,0.01038537,0.01443019,0.01967304,0.03281322,0.05225893,0.0677164, 
3,0.2,1.8888888, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000002,0.00000002,-0.00000005,-0.00000003,0.00000011,0.00000005,-0.00000025,-0.00000009,0.00000054,0.00000013,-0.00000113,-0.00000019,0.00000231,0.00000025,-0.00000461,-0.00000032,0.00000899,0.00000046,-0.00001713,-0.00000086,0.0000319,0.00000214,-0.00005802,-0.00000586,0.00010282,0.0000156,-0.00017714,-0.00003875,0.00029569,0.00008945,-0.00047632,-0.00019234,0.00073665,0.00038658,-0.00108659,-0.00072775,0.00151554,0.00128342,-0.00197513,-0.00211671,0.00236301,0.00325253,-0.0025198,-0.00462751,0.0022572,0.00603886,-0.00143295,-0.00712665,0.00006924,0.0074393,0.0015323,-0.00661208,-0.00276798,0.00463506,0.00292616,-0.00203078,-0.00155349,-0.00016791,-0.00099292,0.00112248,0.00380885,-0.00029671,-0.00498626,-0.00048656,0.00553635,0.00253678,-0.00191185,0.00139883,0.00595515,0.00632027,0.00851286,0.01385664,0.01798939,0.02608911,0.04374475,0.06214234,0.07502524, 
3,0.2,2.7777776, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0,-0.00000001,0,0.00000003,-0.00000001,-0.00000006,0.00000003,0.00000012,-0.00000008,-0.00000024,0.0000002,0.00000049,-0.00000045,-0.00000097,0.00000099,0.0000019,-0.00000207,-0.00000368,0.00000417,0.00000704,-0.00000807,-0.00001333,0.00001504,0.00002494,-0.00002694,-0.000046,0.00004623,0.00008351,-0.00007566,-0.00014866,0.00011714,0.0002585,-0.00016938,-0.00043698,0.00022375,0.00071431,-0.00025807,-0.00112228,0.00022957,0.00168302,-0.00007041,-0.00238899,-0.00030768,0.00317624,0.00099041,-0.00389995,-0.00201251,0.00433221,0.00328783,-0.00420887,-0.00454478,0.00334504,0.00532371,-0.00179884,-0.00509868,0.00000676,0.00355877,0.0012747,-0.00090918,-0.001257,-0.00191362,-0.0001901,0.00381655,0.00257292,-0.00360089,-0.00378536,0.0027833,0.00465364,0.00042104,-0.00039739,0.00301544,0.00492039,0.00707736,0.01178354,0.01491303,0.0187694,0.03203973,0.051242,0.06570332,0.07911456, 
3,0.2,3.6666664, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0.00000001,0.00000002,-0.00000003,-0.00000004,0.00000007,0.00000008,-0.00000016,-0.00000015,0.00000035,0.00000027,-0.00000076,-0.00000051,0.00000157,0.00000095,-0.00000317,-0.00000177,0.00000622,0.00000332,-0.00001189,-0.00000633,0.00002211,0.00001218,-0.00003992,-0.00002356,0.00006985,0.00004544,-0.00011807,-0.00008666,0.00019197,0.00016202,-0.00029847,-0.00029455,0.00044015,0.00051694,-0.00060833,-0.00086981,0.00077328,0.00139337,-0.00087362,-0.00210876,0.00081143,0.00298741,-0.00046384,-0.00391402,-0.00027622,0.00466147,0.00142425,-0.00490947,-0.00280987,0.00434245,0.00401796,-0.00283166,-0.00444527,0.0006472,0.00355523,0.00147882,-0.00124105,-0.00252797,-0.00176857,0.0019309,0.00431016,0.00030074,-0.00467867,-0.00207642,0.00398379,0.00406474,0.00013893,-0.00026799,0.00265502,0.00573912,0.0093474,0.01241612,0.014195,0.02101896,0.03709624,0.05478583,0.06778414,0.082955, 
3,0.2,4.5555552, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000002,0.00000001,-0.00000004,-0.00000002,0.00000009,0.00000003,-0.0000002,-0.00000004,0.00000042,0.00000006,-0.00000087,-0.00000006,0.00000176,0.00000004,-0.0000035,0.00000001,0.00000681,-0.00000008,-0.00001297,0,0.00002416,0.0000007,-0.00004391,-0.00000334,0.00007775,0.0000109,-0.00013372,-0.00002967,0.00022249,0.00007157,-0.00035643,-0.00015734,0.00054629,0.00031963,-0.00079437,-0.00060407,0.00108315,0.00106437,-0.00136058,-0.0017465,0.00152725,0.00265752,-0.00143685,-0.00372057,0.00092647,0.00473099,0.00010955,-0.00534652,-0.00160672,0.00515801,0.00322469,-0.0038682,-0.00433545,0.00155279,0.00422422,0.00116892,-0.00246631,-0.00317374,-0.00052326,0.00353348,0.0036969,-0.00172973,-0.00502367,-0.00040129,0.00515509,0.00357361,-0.00094483,-0.00075755,0.00344122,0.00753507,0.01028151,0.01153738,0.01393933,0.02372417,0.04099085,0.0570186,0.06878612,0.08497422, 
3,0.2,5.444444, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000002,0,-0.00000004,0,0.0000001,-0.00000001,-0.0000002,0.00000005,0.00000043,-0.00000013,-0.00000087,0.00000032,0.00000175,-0.00000072,-0.00000345,0.00000148,0.0000067,-0.00000287,-0.00001276,0.0000052,0.00002386,-0.00000876,-0.00004373,0.00001347,0.00007839,-0.00001814,-0.00013698,0.00001898,0.00023247,-0.00000711,-0.00038134,-0.00003523,0.00060125,0.00013921,-0.00090468,-0.00035293,0.00128707,0.00074031,-0.00170932,-0.00136913,0.00207839,0.00228177,-0.00223711,-0.00344618,0.00198156,0.00469737,-0.00112643,-0.0057005,-0.00037471,0.00598809,0.00228881,-0.0051174,-0.00402621,0.00295211,0.00476973,0.00008395,-0.00381969,-0.00290655,0.00122637,0.00437155,0.00224801,-0.00347568,-0.0044953,0.00163297,0.00584266,0.00219975,-0.00233305,-0.00035697,0.00522159,0.00876705,0.00967615,0.0103011,0.01469937,0.02687021,0.04381211,0.05760094,0.06870567,0.08694208, 
3,0.2,6.3333328, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000002,-0.00000001,-0.00000004,0.00000002,0.0000001,-0.00000005,-0.0000002,0.00000012,0.00000041,-0.00000029,-0.00000082,0.00000064,0.00000164,-0.00000134,-0.00000321,0.00000269,0.00000621,-0.00000517,-0.00001186,0.0000095,0.00002232,-0.00001666,-0.00004131,0.00002768,0.00007502,-0.00004308,-0.00013324,0.00006158,0.0002305,-0.00007758,-0.00038656,0.00007705,0.00062501,-0.00003196,-0.00096801,-0.00010555,0.00142472,0.00040565,-0.00197231,-0.00095354,0.0025317,0.00182421,-0.00294763,-0.00303324,0.00299213,0.00446881,-0.00241632,-0.00583189,0.00106726,0.00663846,0.00095095,-0.00634294,-0.00314643,0.0046138,0.0046922,-0.00163704,-0.00470735,-0.00166431,0.00291007,0.0041063,0.00030875,-0.00435509,-0.00298962,0.0034019,0.00538324,0.00029337,-0.00291583,0.0011683,0.00685426,0.00860982,0.00828851,0.00994162,0.01657998,0.0295392,0.04491892,0.05710389,0.06901399,0.08970345, 
3,0.2,7.2222216, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000002,-0.00000001,-0.00000004,0.00000003,0.00000009,-0.00000008,-0.00000018,0.00000019,0.00000037,-0.00000042,-0.00000074,0.0000009,0.00000146,-0.00000185,-0.00000285,0.00000368,0.0000055,-0.00000707,-0.00001053,0.0000131,0.00001995,-0.00002333,-0.00003734,0.00003984,0.00006879,-0.0000648,-0.00012429,0.00009944,0.00021928,-0.0001417,-0.00037585,0.00018206,0.00062245,-0.00019723,-0.00098989,0.00014258,0.0015009,0.00005366,-0.00215094,-0.00048807,0.00288083,0.00126225,-0.00354907,-0.00243678,0.00392208,0.00395936,-0.00370974,-0.00558837,0.00267079,0.006864,-0.00077998,-0.00719278,-0.00160446,0.00609817,0.00372628,-0.00354089,-0.00463621,0.00022236,0.00382064,0.00277609,-0.00132393,-0.00398035,-0.00115335,0.0040923,0.00399389,-0.00109473,-0.00228213,0.00289771,0.00735386,0.00750841,0.00743011,0.01077152,0.01849437,0.0308597,0.04493827,0.05691437,0.07018261,0.09235703, 
3,0.2,8.1111104, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0.00000001,0.00000002,-0.00000002,-0.00000004,0.00000005,0.00000008,-0.00000011,-0.00000016,0.00000024,0.00000033,-0.00000053,-0.00000064,0.00000111,0.00000124,-0.00000227,-0.0000024,0.00000449,0.00000462,-0.00000863,-0.00000888,0.00001606,0.00001696,-0.00002889,-0.00003215,0.00005011,0.00006021,-0.00008346,-0.00011092,0.0001326,0.00019992,-0.00019916,-0.00035058,0.00027865,0.00059476,-0.00035386,-0.00097023,0.00038612,0.00151186,-0.00030672,-0.00223327,0.00001467,0.00309827,0.00060959,-0.00398772,-0.00166361,0.00467876,0.00315189,-0.00486428,-0.00489988,0.00424237,0.006501,-0.00267862,-0.00736475,0.00039346,0.00693354,0.00197285,-0.00499602,-0.00349383,0.00203931,0.00353964,0.00102398,-0.00190249,-0.00272109,0.00003311,0.00362302,0.00266961,-0.00136424,-0.00114939,0.00382985,0.00693075,0.0066154,0.00752065,0.01187667,0.01956813,0.03130259,0.04504078,0.05733434,0.07139228,0.09424074, 
3,0.2,8.9999992, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0.00000001,0.00000002,-0.00000002,-0.00000004,0.00000006,0.00000007,-0.00000013,-0.00000014,0.00000029,0.00000027,-0.00000061,-0.00000052,0.00000128,0.00000099,-0.0000026,-0.00000189,0.00000514,0.00000363,-0.00000986,-0.00000699,0.00001841,0.0000135,-0.00003334,-0.00002602,0.00005844,0.00004977,-0.00009882,-0.00009391,0.00016044,0.0001736,-0.00024848,-0.00031241,0.00036362,0.00054393,-0.00049554,-0.00091065,0.00061343,0.00145695,-0.00065549,-0.0022124,0.00052281,0.00316335,-0.00008727,-0.00421692,-0.00077439,0.00517187,0.00211357,-0.00572418,-0.00382012,0.00553986,0.00555306,-0.00440613,-0.00675877,0.00242559,0.00685377,-0.00011489,-0.00551878,-0.00167083,0.00307362,0.00227189,-0.00026325,-0.00132843,-0.0015052,0.00010724,0.00277819,0.0022015,-0.0009704,-0.00048988,0.0039853,0.00653427,0.00635417,0.00787278,0.01254974,0.02012029,0.0317047,0.04539934,0.05777268,0.07226489,0.09572933, 
