x0,l0,E0,,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277,P278,P279,P280,P281,P282,P283,P284,P285,P286,P287,P288,P289,P290,P291,P292,P293,P294,P295,P296,P297,P298,P299,P300,
5.31485686,1.3137363,3.95969737, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0.00000001,0.00000001,-0.00000002,-0.00000002,0.00000004,0.00000005,-0.0000001,-0.00000011,0.00000023,0.00000024,-0.00000053,-0.00000051,0.00000118,0.00000106,-0.00000254,-0.00000222,0.00000527,0.00000466,-0.00001058,-0.00000974,0.00002052,0.00002024,-0.00003828,-0.00004156,0.00006834,0.00008375,-0.00011593,-0.00016444,0.00018485,0.00031248,-0.00027223,-0.00057065,0.00035879,0.00099431,-0.00039396,-0.00163981,0.00027967,0.00253585,0.00013702,-0.0036332,-0.00104096,0.00474508,0.0025752,-0.00550603,-0.00469296,0.00544061,0.00702507,-0.00411748,-0.00872289,0.00166768,0.00896794,0.00142671,-0.00664191,-0.00287632,0.00365022,0.00378436,0.00226889,0.00226917,0.00112041,0.00281311,0.01131393,0.01818779,0.01841622,0.02389025,0.04200486,0.06177144,0.07658697,0.09615866,0.1262973,0.16192254,0.20033775,0.23674123,0.2555775,0.24882366,0.22745466,0.20028547,0.16469315,0.12517515,0.09349443,0.07020688,0.05009869,0.03553436,0.0258196,0.01311354,0.00018596,-0.00246955, 
3.316275,4.89641061,8.22537963, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000004,0.00000005,-0.00000008,-0.00000013,0.00000032,0.00000071,-0.00000025,-0.00000119,0.00000199,0.0000073,0.00000388,-0.0000053,0.0000109,0.00006055,0.00007802,0.00003181,0.00008562,0.00041609,0.00079314,0.0008294,0.00099438,0.00254155,0.00546961,0.00783692,0.00938912,0.01448841,0.02702277,0.04303917,0.05562662,0.06859121,0.09508006,0.13688635,0.17637125,0.19849231,0.20879801,0.21634376,0.21238954,0.18535978,0.14572208,0.11420216,0.09417345,0.07604663,0.05827601,0.04394106,0.02906791,0.01290969,0.00508182,0.00751211,0.00773955,0.00109897,-0.00245402,0.00006646,0.00067341,-0.0010113,0.00046721,0.00149544,-0.0017673,-0.00231588,0.00232898,0.0029326,-0.00188281,-0.00266408,0.00068665,0.00083588,-0.00008928,0.00174287,0.00096631,-0.00326472,-0.00283909,0.00186322,0.00281179,0.00033971,-0.00190381,-0.00510967,-0.0058115,-0.00015772,0.00111014,-0.01062376,-0.02178539,-0.02124403,-0.02195872,-0.03483269,-0.05127314,-0.06562092,-0.08270775,-0.10004895,-0.10988575,-0.11203421,-0.10778379,-0.09537294,-0.07772416,-0.06041905,-0.04567358,-0.03537566,-0.02909472,-0.02145759,-0.01232183,-0.00725712,-0.00441394,-0.00006933,0.00059659,-0.00287193,-0.00170849,0.00231305,0.00080026,-0.00120936,0.00162723,0.0012522,-0.0029068,-0.00100934,0.00299811,0.00022081,-0.00215353,0.00105438,0.00132634,-0.00141889,0.00025269,0.00184302,-0.00034027,0.00117617,0.004776,0.00238696,0.00122706,0.0084211,0.01352595,0.01224079, 
4.49680059,4.75055175,5.16777391, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0.00000005,0.00000005,-0.00000001,0.0000001,0.00000054,0.00000082,0.00000053,0.00000139,0.00000578,0.00001103,0.00001217,0.00001906,0.00005551,0.00011748,0.00016506,0.0002288,0.0004755,0.00099466,0.00158571,0.0021834,0.0035307,0.00659031,0.01094806,0.01537009,0.02122923,0.03299391,0.0520869,0.07301762,0.0917958,0.11581026,0.15467932,0.20049702,0.2310822,0.23759802,0.23288403,0.224623,0.20066335,0.15553611,0.11036373,0.08587567,0.07416809,0.05807188,0.03913061,0.02562202,0.01405694,0.00252423,-0.0000902,0.00565891,0.00542756,-0.00235317,-0.00389278,0.00154572,0.00167588,-0.00236061,-0.0008963,0.00196697,-0.00055109,-0.00144091,0.00261063,0.00177011,-0.00400229,-0.00279742,0.00332772,0.0027633,-0.00116508,-0.00044386,-0.00025881,-0.00298304,-0.00041044,0.00486702,0.00204582,-0.00379343,-0.00225421,0.00101297,0.00003496,0.00094431,0.00308443,-0.00084063,-0.00458507,-0.00028419,0.00338952,0.00053972,-0.0006689,0.00074305,-0.00152948,-0.00246647,0.00214736,0.0030338,-0.00163832,-0.00187402,0.00102368,-0.00024797,-0.0007933,0.0020922,0.00071925,-0.00286856,-0.00040949,0.00246727,-0.00023365,-0.00120125,0.00103443,-0.00040037,-0.00173176,0.00166668,0.00200279,-0.00202346,-0.00147575,0.00140986,0.00002774,-0.00041262,0.0018123, 
3.1666757,4.9182011,5.57306209, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0.00000003,0.00000002,-0.00000002,0.0000001,0.00000041,0.00000047,0.00000021,0.00000119,0.00000465,0.00000761,0.00000746,0.00001466,0.00004576,0.00009009,0.00011863,0.00017525,0.0003973,0.00081856,0.00125917,0.00175166,0.00299999,0.00570699,0.00936207,0.01310949,0.01860255,0.02973687,0.04720825,0.06616421,0.08410721,0.10834691,0.14679709,0.19148834,0.2226177,0.23202944,0.2297644,0.22220199,0.20028598,0.16013475,0.11854219,0.09261602,0.07792583,0.06173811,0.04362939,0.02866842,0.01553812,0.00470929,0.00242173,0.00643594,0.00542709,-0.00139662,-0.00359639,0.00002755,0.00117341,-0.00047266,0.00015675,0.00067267,-0.00149479,-0.00123822,0.00198438,0.00101707,-0.00311196,-0.00258433,0.00005509,-0.00225089,-0.00544606,-0.00490409,-0.0075977,-0.01695477,-0.02412212,-0.02587432,-0.03150933,-0.04650332,-0.06576141,-0.08197266,-0.09098102,-0.09495713,-0.10029583,-0.10427093,-0.09517207,-0.07368993,-0.05428718,-0.04196363,-0.03172617,-0.02512231,-0.02253136,-0.01488728,-0.00279636,0.00069912,-0.00382025,-0.00367668,0.00041582,0.00066781,0.00044219,0.00229666,0.00025911,-0.00341775,-0.00073615,0.00345582,0.00129878,-0.00184023,-0.00061493,0.00030671,-0.00043631,0.0012235,0.00332532,0.00184979,-0.00048175,0.00047254,0.00481413,0.00999277,0.01183768,0.00980209,0.01106638,0.02008681,0.03025834,0.03492162, 
4.57305032,0.56869458,7.37460151, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000002,0.00000001,-0.00000005,-0.00000002,0.00000012,0.00000002,-0.00000027,-0.00000003,0.00000059,0.00000002,-0.00000124,0.00000001,0.00000256,-0.0000001,-0.00000516,0.00000024,0.00001019,-0.00000038,-0.00001966,0.00000018,0.00003704,0.00000137,-0.00006799,-0.00000687,0.00012121,0.0000221,-0.00020914,-0.00005881,0.00034762,0.0001387,-0.00055333,-0.00029811,0.00083706,0.00059144,-0.00119108,-0.00108903,0.00157061,0.00186275,-0.00187414,-0.00295208,0.00193516,0.00430898,-0.00154645,-0.00573488,0.00053938,0.00684903,0.00108089,-0.00714524,-0.00298485,0.00619749,0.0044849,-0.0039507,-0.00469024,0.00104995,0.00310892,0.00145582,0.00019006,-0.00204513,-0.00331229,0.001508,0.0064435,0.0020425,-0.00423877,0.00029941,0.0092196,0.00958476,0.00644627,0.0112912,0.02206594,0.03292807,0.04539507,0.05935735,0.0730449,0.09354309,0.12709126,0.16484787,0.19509466,0.2163635,0.22696957,0.22050674,0.19859707,0.17001902, 
5.63773024,1.17670515,4.03596742, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000002,-0.00000001,-0.00000004,0.00000003,0.00000009,-0.00000007,-0.00000021,0.00000017,0.00000045,-0.00000041,-0.00000097,0.00000091,0.00000204,-0.00000196,-0.00000425,0.000004,0.00000872,-0.00000781,-0.00001763,0.00001448,0.000035,-0.00002533,-0.00006801,0.0000412,0.00012886,-0.00006078,-0.00023686,0.00007694,0.00042002,-0.00007023,-0.0007139,-0.00000061,0.00115406,0.0002093,-0.00175749,-0.00066703,0.00248995,0.00150962,-0.00322325,-0.00284877,0.00370468,0.00467979,-0.00357412,-0.00675221,0.0024993,0.00851012,-0.00037987,-0.00910464,-0.00224765,0.00797525,0.00452326,-0.00473101,-0.00448031,0.00156784,0.00335732,0.00276683,0.00296884,0.00109139,0.00052289,0.00774892,0.01612802,0.01682764,0.01869896,0.03304123,0.05253256,0.06746947,0.08407126,0.10967382,0.14158528,0.17864397,0.21913369,0.24827458,0.25276383,0.23887235,0.21647703,0.18409179,0.14432614,0.10923226,0.08224595,0.05900756,0.04208878,0.03227004,0.02012843,0.00456492, 
5.30393575,2.2369239,2.87603211, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000002,0,-0.00000004,0.00000001,0.00000009,-0.00000003,-0.00000022,0.0000001,0.00000051,-0.00000024,-0.00000118,0.00000055,0.00000264,-0.00000117,-0.0000058,0.00000225,0.00001244,-0.00000385,-0.00002603,0.00000539,0.00005282,-0.00000438,-0.00010345,-0.00000634,0.00019422,0.00004405,-0.00034656,-0.00014454,0.00058138,0.00037329,-0.00090192,-0.00083106,0.00126461,0.00164909,-0.00152339,-0.0029209,0.00142656,0.00465786,-0.00052418,-0.0064299,-0.00130459,0.00791298,0.0046574,-0.00705597,-0.00686217,0.0063316,0.01146744,0.00216077,-0.00331217,0.00520311,0.01605607,0.02089397,0.02643122,0.03726228,0.05101232,0.07028434,0.09841812,0.12919026,0.15852323,0.19382924,0.23523987,0.26436835,0.26647404,0.24660951,0.2152734,0.17753439,0.14020276,0.11001148,0.08429571,0.05892068,0.03887251,0.02796016,0.01959807,0.0088117,0.00043659,-0.00164627,-0.00052552,0.00105613,0.00241748,0.00101938,-0.00330887,-0.00488365,-0.00065771,0.00398551,0.00348262,-0.00039184,-0.00297819, 
6.91429794,2.70876449,7.59308095, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0.00000001,0.00000001,-0.00000002,-0.00000004,0.00000006,0.00000009,-0.00000015,-0.00000022,0.00000037,0.00000053,-0.00000085,-0.00000129,0.00000187,0.00000308,-0.00000389,-0.00000722,0.00000762,0.00001645,-0.00001378,-0.00003628,0.00002227,0.00007694,-0.00002976,-0.00015561,0.00002445,0.00029767,0.00002378,-0.00053208,-0.00017596,0.00087786,0.00054056,-0.00130034,-0.00125238,0.0016853,0.00247521,-0.00168916,-0.00409705,0.00108348,0.00612478,0.00107112,-0.00679642,-0.00296811,0.00799114,0.00841385,-0.00134289,-0.00293602,0.00810514,0.01714833,0.0186427,0.02314023,0.03535247,0.05002065,0.06780635,0.09302214,0.12164043,0.14996296,0.18243015,0.21509952,0.23000111,0.21936886,0.19502299,0.16697142,0.13577735,0.10611983,0.08372691,0.06398617,0.04326125,0.02851863,0.0214969,0.0133257,0.00323674,-0.00053127,0.00094431,0.00085392,0.00069135,0.0019268,-0.00057594,-0.0048025,-0.00244757,0.0032203,0.00314988,-0.0001184,-0.00096869,-0.00183928,-0.00252317,0.00116302,0.00433852,0.00078757,-0.003169,-0.00156714,0.0004238,0.00033325,0.0016541,0.00175671,-0.00188282,-0.00267501,0.00127181,0.0023548,0.00006243,0.00023597,0.00107738,0.00014864,0.00193946,0.00565078, 
4.70788249,2.40488802,1.65943088, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000002,0.00000002,-0.00000005,-0.00000004,0.00000014,0.00000008,-0.00000033,-0.00000015,0.00000076,0.00000028,-0.00000169,-0.0000005,0.00000368,0.00000095,-0.00000777,-0.00000192,0.00001591,0.00000419,-0.00003156,-0.00000964,0.00006052,0.00002262,-0.00011166,-0.00005236,0.00019703,0.00011707,-0.00032968,-0.00024904,0.00051715,0.00049976,-0.00074574,-0.00093552,0.00096194,0.00162711,-0.00103105,-0.00257189,0.00078414,0.0037089,0.00010482,-0.00452133,-0.00142277,0.00497903,0.00382207,-0.00292493,-0.00387722,0.00250168,0.00739174,0.00676579,0.00445993,0.00521602,0.01267637,0.02627404,0.0380152,0.04443918,0.05720248,0.08526459,0.11780192,0.14467475,0.17588383,0.2186446,0.25757278,0.27732261,0.27885321,0.26146408,0.22110297,0.17168072,0.1338155,0.10571871,0.07633368,0.05140902,0.03781861,0.02639286,0.01236388,0.00414331,0.00176922,-0.00226766,-0.00379993,0.00183699,0.00449116,-0.00124884,-0.0048675, 
6.16486329,3.1694939,1.70263188, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,0,0.00000001,-0.00000001,-0.00000003,0.00000003,0.00000008,-0.00000009,-0.00000018,0.00000025,0.0000004,-0.00000063,-0.00000089,0.00000151,0.00000197,-0.00000346,-0.00000431,0.00000756,0.00000941,-0.00001573,-0.00002041,0.00003108,0.0000438,-0.00005771,-0.00009194,0.00009985,0.00018819,-0.0001551,-0.00036714,0.00021158,0.00068984,-0.00020137,-0.00118071,0.00006905,0.00195854,0.00054921,-0.00261252,-0.0013279,0.00378034,0.00401639,-0.00213184,-0.00378145,0.0045092,0.01193101,0.00895186,0.00403769,0.0108269,0.02810663,0.04399523,0.05365986,0.0647114,0.08802646,0.12546562,0.16621104,0.19970479,0.22948476,0.26141557,0.28306751,0.2756008,0.24172706,0.19961681,0.15778438,0.11832511,0.08944551,0.07206668,0.05328211,0.03014567,0.01561324,0.01191685,0.00721508,0.00010328,-0.00183213,-0.00074627,-0.00111877,0.00062114,0.00300173,-0.00088485,-0.00554087,-0.00164995,0.00397671,0.00249552,-0.00025312,-0.00011305,-0.00225723,-0.00389835,0.00146158, 
